id,data,aula,slug,trecho_original,versao_lapidada,tipo,pilar,contexto,por_que_importa,clareza,originalidade,tensao,utilidade,corte,reaproveitamento,alinhamento,score_total,prioridade,status,formatos_sugeridos,campanha_sugerida,arquivo_origem
2026-06-26-aula-000-de-que-serve-ia-p001,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Vocês querem ser empresários ou especialistas gourmet?,Você quer ser empresário ou especialista gourmet?,contraste,Empresário operador vs orquestrador,Abertura de reposicionamento mental da aula.,Cria tensão imediata entre operar tecnicamente e pensar como dono.,5,5,5,5,5,5,5,35,P1,nova,reel; post linkedin; carrossel,"IA não é ferramenta, é capacidade operacional",/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p002,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,"Querer ser um empresário, mas se comportar como um funcionário gourmet.","O erro é querer ser empresário, mas se comportar como funcionário gourmet.",frase de impacto,Empresário operador vs orquestrador,Crítica ao dono que continua preso à execução e à vaidade técnica.,"É uma frase proprietária, memorável e com atrito emocional.",5,5,5,5,5,5,5,35,P1,nova,reel; quote card; email,Empresário ou funcionário gourmet,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p003,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Qual ferramenta você vai ensinar a gente usar? Vai ser ChatGPT? Perplexity? Claude?,A pergunta errada é: qual ferramenta eu tenho que usar? A pergunta certa é: que capacidade meu negócio precisa construir?,contraste,Anti-hype e discernimento,Trecho em que Fabio tira o foco de ferramentas específicas.,Combate a obsessão por ferramenta da semana e reforça visão estratégica.,5,4,5,5,5,5,5,34,P2,nova,reel; carrossel; post linkedin,Prompt não é estratégia,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p004,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,A gente vai falar de muita coisa sem nem passar por ferramenta nenhuma.,"Antes de falar de ferramenta, a gente precisa falar de negócio.",tese,Gestão antes da IA,Reforço de que a aula não seria tutorial de ferramenta.,Posiciona a Domus contra cursos genéricos de prompt/ferramenta.,5,4,4,5,4,5,5,32,P2,nova,post; abertura de aula; email,"IA não é ferramenta, é capacidade operacional",/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p005,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Engenharia de prompt talvez é a que menos importa.,"Prompt importa. Mas, entre as coisas que realmente mudam um negócio, talvez seja uma das que menos importam.",alerta,Anti-hype e discernimento,"Comentário sobre engenharia de prompt, fine-tuning e RAG.","É contrarian, forte e diretamente conectado ao mercado saturado de prompts.",5,5,5,5,5,5,5,35,P2,nova,reel; post; carrossel,Prompt não é estratégia,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p006,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,"McDonald’s não é o melhor hambúrguer do mundo, mas tem uma distribuição colossal.",O McDonald’s não venceu por ter o melhor hambúrguer. Venceu por ter o melhor sistema.,analogia,Sistemas e alavancagem,Analogia usada para mostrar que técnica isolada não constrói negócio.,"É simples, visual, popular e excelente para explicar sistemas.",5,4,5,5,5,5,5,34,P2,nova,reel; carrossel; artigo,O melhor sistema vence,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p007,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Colocarem a lente de um empresário.,O primeiro ganho da IA não é técnico. É trocar a lente de especialista pela lente de empresário.,tese,Empresário operador vs orquestrador,"Depois da analogia do restaurante, Fabio fala sobre mudar a lente.",Define a transformação mental que a Domus quer provocar.,5,4,4,5,4,5,5,32,P2,nova,post; email; carrossel,Empresário ou funcionário gourmet,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p008,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Você vai ter que abraçar o desconforto e aprender o que você realmente precisaria aprender.,Às vezes o próximo nível do seu negócio está justamente no assunto que você está evitando aprender.,alerta,Implementação,Trecho sobre parar de estudar só o que é confortável.,"Fala diretamente com dono que consome conteúdo técnico confortável, mas evita gestão/sistema.",5,4,4,5,4,4,5,31,P3,nova,post; email; story,O desconforto que constrói negócio,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p009,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Vocês não estão olhando o próprio negócio de vocês como um negócio.,Muita gente usa IA mal porque ainda não olha para o próprio negócio como negócio.,tese,Gestão antes da IA,Crítica ao comportamento de especialista gourmet.,Conecta IA mal aplicada com falta de maturidade empresarial.,5,5,5,5,5,5,5,35,P2,nova,reel; post; carrossel,Gestão antes da IA,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p010,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Eu precisava pelo menos dar uma chacoalhada em vocês.,"Antes de ensinar ferramenta, eu preciso dar uma chacoalhada na forma como você enxerga o próprio negócio.",frase de impacto,Gestão antes da IA,Fabio justifica o tom mais direto da abertura.,Boa abertura para manifesto e para uma sequência de conteúdo mais incisiva.,5,4,5,4,5,4,5,32,P2,nova,reel; email,A chacoalhada necessária,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p011,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,Eu sempre conversei muito com os nossos usuários... quase 40 mil empresas no sistema.,Minha visão sobre IA para negócios não vem de trend. Vem de observar milhares de empresas tentando operar melhor.,caso aplicado,Casos de negócio,Fabio ancora sua autoridade na experiência com SaaS de gestão para estética automotiva.,Dá lastro e diferencia opinião de experiência operacional real.,5,5,3,5,3,5,5,31,P3,nova,post autoridade; artigo; email,O que 40 mil empresas ensinam sobre IA,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
2026-06-26-aula-000-de-que-serve-ia-p012,2026-06-26,000 - De que serve a IA no seu negócio [AULA OBRIGATÓRIA],2026-06-26-aula-000-de-que-serve-ia,A IA tem uma série de superpoderes.,"IA parece mágica, mas para negócio ela só importa quando vira capacidade operacional.",definição simples,Sistemas e alavancagem,Explicação sobre capacidades de IA e técnicas associadas.,Traduz hype técnico para valor empresarial.,5,4,4,5,4,4,5,31,P3,nova,post; carrossel,IA como capacidade operacional,/root/domus-conteudo/aulas/2026-06-26-aula-000-de-que-serve-ia.md
